anolis_carolinensis
arabidopsis_lyrata
arabidopsis_thaliana
bos_taurus
brachypodium_distachyon
brassica_oleracea
brassica_rapa_subsp._rapa
caenorhabditis_elegans
chlorocebus_sabaeus
danio_rerio
equus_caballus
gallus_gallus
glycine_max
homo_sapiens
hordeum_vulgare_subsp._vulgare
macaca_mulatta
monodelphis_domestica
mus_musculus
oryza_sativa_japonica_group
ovis_aries
papio_anubis
platynereis_dumerilii
rattus_norvegicus
schistosoma_mansoni
solanum_lycopersicum
solanum_tuberosum
sorghum_bicolor
sus_scrofa
triticum_aestivum
vitis_vinifera
xenopus_tropicalis
zea_mays
